Name,Score,Genres,English name,Type,Month Aired,Season,Episodes,Duracion,Rating,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Yume Oukoku to Nemureru 100-nin no Ouji-sama,5.9,"['Adventure', 'Harem', 'Fantasy']",100 Sleeping Princes and the Kingdom of Dreams,TV,Jul,Summer,12,23,PG,4216,14569,40,1469,4220,577,1913
Shuangsheng Lingtan,7.28,"['Mystery', 'Psychological']",Shuangsheng Lingtan,ONA,Aug,Summer,20,14,R,4661,11460,31,1103,2704,441,443
Girls & Panzer: Saishuushou Part 1,7.96,"['Military', 'School']",Girls & Panzer: Saishuushou Part 1,Movie,Dec,Winter,1,47,PG,2947,30591,107,2137,15983,600,244
Cyphers,5.88,['Action'],Cyphers,ONA,Jun,Summer,3,2,PG,9899,1292,2,160,262,28,32
3-Nen D-Gumi Glass no Kamen,4.71,"['Comedy', 'Parody', 'School']",The Glass Mask Year 3 Class D,TV,Oct,Fall,13,4,PG,8893,1964,3,97,928,52,335
0-sen Hayato Pilot,6.51,"['Military', 'Historical']",0-sen Hayato Pilot,OVA,Nov,Fall,1,23,PG,13790,279,0,9,111,11,57
Mirai ni Mukete: Bousai wo Kangaeru,6.51,['Drama'],Mirai ni Mukete: Bousai wo Kangaeru,Movie,Sep,Fall,1,60,G,14248,240,0,19,43,4,38
Onihei,7.31,"['Historical', 'Seinen']",Onihei,TV,Jan,Winter,13,23,R,2786,33930,86,3026,13746,1685,2906
Bloodivores,5.51,"['Action', 'Supernatural', 'Vampire']",Bloodivores,TV,Oct,Fall,12,24,R,1610,83433,93,7771,39266,3449,14385
Elite Banana Banao,6.51,"['Slice of Life', 'Comedy', 'Parody']",Elite Banana Banao,ONA,Dec,Winter,9,2,G,12022,518,2,39,88,16,48
Demi-chan wa Kataritai,7.62,"['Comedy', 'Vampire', 'Fantasy', 'School', 'Seinen']",Interviews With Monster Girls,TV,Jan,Winter,12,23,PG,435,318206,1315,17925,213378,6762,8270
Servamp Specials,6.93,"['Comedy', 'Josei']",Servamp Specials,Special,Nov,Fall,4,5,PG,4206,14528,32,578,4144,291,220
Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!,6.78,"['Adventure', 'Game', 'Shounen']",Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!,Special,Apr,Spring,1,26,G,7591,3309,3,117,1540,67,85
Nameless,6.26,"['Music', 'Romance']",Nameless,Music,Sep,Fall,2,4,G,9088,1809,1,84,1004,32,28
Bakukyuu Renpatsu! Super B-Daman Specials,6.51,"['Adventure', 'Game']",Bakukyuu Renpatsu! Super B-Daman Specials,Special,Mar,Spring,2,40,G,14545,220,1,15,86,8,37
Kakuchou Shoujo-kei Trinary,6.05,['Sci-Fi'],Augmented Reality Girls Trinary,ONA,Apr,Spring,34,7,PG,3485,22121,54,2338,888,792,615
Days (TV) OVA,6.86,"['Sports', 'School', 'Shounen']",Days (TV) OVA,OVA,Mar,Spring,2,25,PG,5646,7047,12,242,1883,144,173
To Be Hero,7.0,['Comedy'],TO BE HERO,TV,Oct,Fall,12,11,PG,2272,49586,132,3087,27826,1418,4107
Isekai Shokudou,7.35,"['Comedy', 'Fantasy', 'Mystery']",Restaurant to Another World,TV,Jul,Summer,12,23,PG,980,150933,463,13234,81705,6177,11802
Hagane Orchestra,5.58,"['Game', 'Adventure', 'Comedy', 'Parody']",Hagane Orchestra,TV,Oct,Fall,12,4,PG,6858,4340,1,281,1663,120,347
Hatsukoi Monster: Mou Chotto dake Tsuzukunja,6.1,"['Comedy', 'Romance', 'School', 'Shoujo']",Hatsukoi Monster: Mou Chotto dake Tsuzukunja,OVA,Feb,Winter,1,23,PG,5819,6522,11,225,1826,146,214
Tsugumomo,7.07,"['Action', 'Comedy', 'Ecchi', 'School', 'Seinen', 'Supernatural']",Tsugumomo,TV,Apr,Spring,12,24,R,1107,134124,367,11556,69341,4322,8416
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.85,"['Action', 'Adventure', 'Drama', 'Seinen']",Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Movie,Feb,Winter,1,53,R,3267,25195,82,1042,12502,267,162
Whistle! (ONA),6.51,"['Sports', 'School', 'Shounen']",Whistle!,ONA,Dec,Winter,Other,0,PG,10894,835,3,106,1,29,56
Idol Jihen,5.68,['Music'],Idol Incidents,TV,Jan,Winter,12,23,PG,4543,12001,16,976,3859,551,2574
King of Prism: Pride the Hero,6.85,"['Music', 'Sports', 'Shoujo']",King of Prism: Pride the Hero,Movie,Jun,Summer,1,69,PG,7449,3497,11,107,1018,54,98
Pokemon Sun & Moon,6.84,"['Action', 'Game', 'Kids', 'Fantasy', 'School']",Pokémon the Series:Sun & Moon,TV,Nov,Fall,146,24,PG,1862,67085,522,15066,23167,8470,10485
Detective Conan: Episode One - The Great Detective Turned Small,8.27,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",Detective Conan: Episode One - The Great Detective Turned Small,Special,Dec,Winter,1,93,PG,3470,22297,63,970,15298,366,430
Umihiko Yamahiko,6.51,"['Fantasy', 'Historical']",Umihiko Yamahiko,Movie,Aug,Summer,1,17,G,14325,236,0,11,80,7,51
L'Œil du cyclone,6.03,"['Music', 'Dementia']",L'Œil du cyclone,Music,Nov,Fall,1,4,G,12034,519,1,9,417,5,16
Seoul-yeok,5.82,"['Horror', 'Thriller']",Seoul Station,Movie,Aug,Summer,1,92,R,6325,5323,10,153,2927,70,111
Tonari no Onigiri-kun,5.27,['Slice of Life'],Tonari no Onigiri-kun,Special,Aug,Summer,3,0,G,10919,824,1,38,406,12,39
Akiba's Trip The Animation,6.55,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",Akiba's Trip The Animation,TV,Jan,Winter,13,23,PG,1274,112912,274,9610,55391,5207,14015
100% Pascal-sensei (TV),5.72,['Comedy'],100% Teacher Pascal,TV,Apr,Spring,36,12,PG,8585,2220,5,238,673,149,628
Berserk 2nd Season,6.69,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Magic', 'Military', 'Romance', 'Supernatural']",Berserk:Season II,TV,Apr,Spring,12,24,R,1194,124485,410,6259,85329,1825,5124
Dead World,3.58,['Horror'],Dead World,ONA,Sep,Fall,1,1,R,9434,1585,1,72,1001,29,67
Uchouten Kazoku 2,8.13,"['Comedy', 'Demons', 'Drama', 'Fantasy', 'Slice of Life']",The Eccentric Family 2,TV,Apr,Spring,12,23,PG,2229,51229,244,3197,25917,1476,925
Cardfight!! Vanguard G: Next,6.59,"['Action', 'Game', 'Shounen']",Cardfight!! Vanguard G NEXT,TV,Oct,Fall,52,24,PG,5662,7044,14,744,3642,253,452
Tansa Quest!,6.51,"['Fantasy', 'School']",Tansa Quest!,ONA,Mar,Spring,1,1,PG,14125,253,0,14,132,1,21
Sakura Nagashi,7.03,"['Action', 'Sci-Fi', 'Music', 'Drama', 'Mecha']",Sakura Nagashi,Music,Sep,Fall,1,4,PG,6454,5048,13,63,4039,45,67
Tales of Zestiria the Cross 2nd Season,7.35,"['Action', 'Adventure', 'Magic', 'Fantasy']",Tales of Zestiria the Cross 2nd Season,TV,Jan,Winter,13,23,PG,1144,129670,221,9376,81511,4264,4239
Chiruran: Nibun no Ichi,5.67,"['Action', 'Comedy', 'Historical']",Chiruran 1/2,TV,Jan,Winter,12,2,G,5728,6799,7,411,3540,177,826
Gintama.,8.99,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Gintama Season 5,TV,Jan,Winter,12,24,PG,730,201735,2397,11770,115105,3388,2273
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,7.98,"['Action', 'Fantasy', 'Magic']",Fate/kaleid liner Prisma Illya:Vow in the Snow,Movie,Aug,Summer,1,89,PG,1903,65040,275,1807,37712,661,392
Sakurada Reset,7.37,"['Mystery', 'Super Power', 'Supernatural', 'School']",Sagrada Reset,TV,Apr,Spring,24,25,PG,1229,119064,493,12877,33611,7969,15970
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,7.54,"['Action', 'Psychological', 'Horror', 'Mystery']",Danganronpa 3:The End of Hope's Peak High School - Hope Arc,Special,Sep,Fall,1,24,R,1121,131706,1162,2269,106889,910,619
Knight's & Magic,7.13,"['Action', 'Fantasy', 'Mecha', 'School']",Knight's & Magic,TV,Jul,Summer,13,24,PG,840,178518,754,14177,116155,4249,10883
Kyoukai no Rinne (TV) 3rd Season,7.07,"['Comedy', 'Supernatural', 'Romance', 'School', 'Shounen']",RIN-NE,TV,Apr,Spring,25,24,PG,3756,18691,19,1643,7924,814,692
Otousan wa Ai no Hito,6.44,"['Drama', 'Slice of Life']",Otousan wa Ai no Hito,ONA,Jul,Summer,1,3,G,12539,426,1,11,325,2,20
Pride,5.57,['Slice of Life'],Pride,ONA,Oct,Fall,1,2,G,13243,325,0,9,246,1,18
Kizuna (ONA),5.8,['Drama'],Kizuna (ONA),ONA,Sep,Fall,1,3,G,13011,350,0,10,266,1,15
Itsumo Kokoro ni Ho,5.58,"['Music', 'Slice of Life']",Itsumo Kokoro ni Ho,ONA,Oct,Fall,1,2,G,13028,348,0,9,271,1,19
Minna de Bokumetsu Inshu Unten,6.51,['Drama'],Minna de Bokumetsu Inshu Unten,Special,Other,Other,1,0,G,14724,210,0,6,154,1,13
High School Fleet OVA,7.21,"['Action', 'Military', 'School']",High School Fleet OVA,OVA,Mar,Spring,2,24,PG,4051,15897,26,697,9630,395,124
Rewrite 2nd Season,7.26,"['Action', 'Military', 'Comedy', 'Supernatural', 'Romance', 'Fantasy']",Rewrite:Moon and Terra,TV,Jan,Winter,11,24,PG,1512,91071,424,5344,54425,2596,3442
Xia Lan,6.51,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Drama', 'Magic', 'Martial Arts', 'Fantasy']",Xia Lan,TV,Jan,Winter,156,25,PG,12546,426,2,48,77,24,77
One Punch Man 2nd Season,7.41,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']",One Punch Man 2nd Season,TV,Apr,Spring,12,23,R,70,994488,5937,61959,666395,12925,19642
Orange: Mirai,7.44,"['Sci-Fi', 'Drama', 'Romance', 'School', 'Shoujo']",Orange: Mirai,Movie,Nov,Fall,1,63,PG,1533,90238,180,1907,42492,999,593
Eyedrops,5.22,['Space'],Eyedrops,ONA,Sep,Fall,4,5,G,11561,631,3,42,184,16,52
Nyanko Days,6.61,"['Slice of Life', 'Comedy']",Nyanko Days,TV,Jan,Winter,12,2,PG,2108,55668,132,3242,34779,1080,2035
Landreaall,6.51,"['Action', 'Adventure', 'Romance', 'Martial Arts', 'Fantasy']",Landreaall,OVA,Feb,Winter,1,29,PG,9904,1287,0,55,77,23,64
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,7.19,"['Action', 'Mystery', 'Horror', 'Psychological']",Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,OVA,Jan,Winter,1,25,R,1804,71379,495,1379,53227,550,286
Eyedrops Episode 0,5.11,['Space'],Eyedrops Episode 0,ONA,Sep,Fall,1,2,G,13048,345,0,17,197,5,27
PePePePengiin,6.51,['Comedy'],PePePePengiin,TV,Oct,Fall,13,2,PG,12553,425,2,31,95,8,93
Overlord Movie 1: Fushisha no Ou,7.62,"['Action', 'Game', 'Supernatural', 'Magic', 'Fantasy']",Overlord:The Undead King,Movie,Feb,Winter,1,102,R,2051,58151,111,1573,28577,628,820
Oishi-sa Hajikeru! One Piece,6.02,['Music'],Oishi-sa Hajikeru! One Piece,Special,Sep,Fall,1,0,G,7842,2976,4,103,1851,76,85
Isobe Isobee Monogatari Jump Festa Special,6.51,"['Comedy', 'Historical', 'Shounen']",Isobe Isobee Monogatari Jump Festa Special,Special,Aug,Summer,3,6,PG,9973,1244,0,66,109,30,67
Cocolors,6.51,['Sci-Fi'],Cocolors,Movie,May,Spring,1,45,PG,7594,3294,2,150,163,77,48
Buddy Go! 2,6.17,"['Comedy', 'Romance', 'Shoujo']",Buddy Go! 2,Special,Oct,Fall,4,1,PG,8626,2165,7,67,1391,24,54
Zero kara Hajimeru Mahou no Sho,7.1,"['Action', 'Adventure', 'Magic', 'Fantasy']",Zero kara Hajimeru Mahou no Sho,TV,Apr,Spring,12,24,PG,731,201601,563,15046,121613,5794,10504
Tenshi no 3P!,6.66,"['Music', 'School', 'Slice of Life']",Angel's 3Piece!,TV,Jul,Summer,12,23,PG,2261,49863,77,4293,22182,1631,3653
Inazuma Eleven: Outer Code,6.8,['Sports'],Inazuma Eleven: Outer Code,ONA,Nov,Fall,6,5,G,6378,5199,8,467,3064,201,193
Ima no Watashi ni Dekiru Koto...,5.77,['Sci-Fi'],Ima no Watashi ni Dekiru Koto...,ONA,Sep,Fall,2,1,G,11405,669,1,43,283,10,28
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA",6.21,['Mystery'],"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA",OVA,Dec,Winter,2,25,PG,6018,5996,11,262,1225,153,160
Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,6.51,"['Kids', 'Magic', 'Fantasy']",Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,Movie,Apr,Spring,1,76,PG,12712,394,1,17,106,20,51
Hibike! Euphonium 2 Specials,6.68,"['Music', 'Comedy', 'School']",Sound! Euphonium 2 Specials,Special,Dec,Winter,7,2,PG,4144,15152,13,860,7967,543,257
GJ8man,6.51,"['Comedy', 'Super Power']",GJ8man,ONA,Oct,Fall,Other,5,G,14622,219,0,51,0,16,68
Escha Chron,6.47,"['Sci-Fi', 'Music', 'Slice of Life']",Escha Chron,OVA,Jul,Summer,2,25,PG,5834,6526,8,330,1992,116,141
Meiji Tokyo Renka,6.93,"['Harem', 'Historical', 'Supernatural', 'Romance', 'Shoujo']",Meiji Tokyo Renka,TV,Jan,Winter,12,23,PG,2869,31953,196,2799,14780,931,2271
Getsuyoubi no Tawawa,6.44,"['Slice of Life', 'Ecchi']",Getsuyoubi no Tawawa,ONA,Oct,Fall,12,4,PG,1769,73582,159,5593,35391,1623,2458
Higanjima X,6.51,"['Horror', 'Vampire', 'Fantasy', 'Seinen']",Higanjima X,ONA,Oct,Fall,12,3,R,11262,715,1,61,129,16,64
Forest Fairy Five,3.47,"['Music', 'Comedy', 'Fantasy']",Forest Fairy Five,TV,Jan,Winter,13,10,PG,8173,2612,1,149,601,89,916
Kimoshiba,6.51,"['Comedy', 'Horror', 'Kids', 'Supernatural']",Kimoshiba,TV,Oct,Fall,13,1,G,13842,270,0,23,51,5,83
Pittanko! Nekozakana,6.51,"['Comedy', 'Kids']",Pittanko! Nekozakana,TV,Oct,Fall,50,5,G,14477,225,0,25,31,6,82
Anime-ban Toukaidou Yotsuya Kaidan,6.51,"['Historical', 'Horror', 'Supernatural']",Anime-ban Toukaidou Yotsuya Kaidan,Special,Aug,Summer,1,46,PG,13157,335,0,22,71,9,42
Osomatsu-san: Ouma de Kobanashi,7.27,"['Comedy', 'Parody', 'Sports']",Osomatsu-san: Ouma de Kobanashi,Special,Dec,Winter,1,24,R,5446,7664,10,98,5747,52,84
Mutsugo to Ouma no Monogatari,6.23,"['Comedy', 'Parody', 'Sports']",The Story of the Sextuplets and a Horse,ONA,Oct,Fall,6,2,PG,8687,2121,4,103,677,41,106
Shelter,8.34,"['Sci-Fi', 'Music']",Shelter,Music,Oct,Fall,1,6,G,539,265646,2315,3702,234951,545,464
Miss Monochrome: Music Clips,6.31,['Music'],Miss Monochrome: Music Clips,Music,Sep,Fall,14,4,G,10021,1212,0,63,556,36,41
Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri,6.82,"['Sci-Fi', 'Adventure', 'Comedy', 'Seinen']",Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri,Movie,Apr,Spring,1,105,G,9366,1625,1,40,956,33,70
Star Beat!: Hoshi no Kodou,6.82,['Music'],Star Beat!: Hoshi no Kodou,Music,Aug,Summer,1,6,PG,8545,2264,4,47,1590,16,53
Cinderella Girls Gekijou,6.54,"['Comedy', 'Slice of Life']",THE IDOLM@STER CINDERELLA GIRLS Theater,TV,Apr,Spring,13,3,PG,4175,14954,30,938,6424,424,665
Kai: Geoul Hosu-ui Jeonseol,6.51,"['Adventure', 'Fantasy']",Kai: Geoul Hosu-ui Jeonseol,Movie,Aug,Summer,1,96,G,13076,344,1,21,55,13,28
Oushitsu Kyoushi Heine,7.47,"['Slice of Life', 'Comedy', 'Historical', 'Shounen']",The Royal Tutor,TV,Apr,Spring,12,23,PG,1361,102935,719,8113,59408,3363,6511
"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",7.41,"['Comedy', 'Ecchi', 'Slice of Life']","New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",OVA,May,Spring,1,22,PG,1992,60272,40,1114,41582,376,224
Grancrest Senki,7.25,"['Action', 'Drama', 'Fantasy', 'Romance']",Record of Grancrest War,TV,Jan,Winter,24,23,R,698,211902,952,27491,100552,9308,18755
Gamers!,6.92,"['Game', 'Comedy', 'Romance', 'School']",Gamers!,TV,Jul,Summer,12,24,PG,283,455313,1860,28514,313233,10319,20736
High School DxD Hero,7.28,"['Action', 'Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School']",High School DxD Hero,TV,Apr,Spring,12,23,R,453,309467,2264,22899,202846,7545,11680
Nobunaga no Shinobi: Nobunaga to Minarai Shinobi,6.7,"['Comedy', 'Historical']",Ninja Girl & Samurai Master:Episode 0,Special,Mar,Spring,1,5,PG,7118,3951,1,82,3134,26,43
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.64,"['Slice of Life', 'Drama', 'Magic', 'Fantasy']",Yuki Yuna is a Hero:The Washio Sumi Chapter,TV,Oct,Fall,6,24,PG,2831,32995,158,1825,14852,805,881
KiyaKiya,6.51,"['Music', 'Psychological']",KiyaKiya,Music,Dec,Winter,1,6,G,14823,205,0,6,105,2,26
Schoolgirl Strikers: Animation Channel,5.72,"['Action', 'Sci-Fi', 'School']",Schoolgirl Strikers: Animation Channel,TV,Jan,Winter,13,24,PG,3867,17698,23,1688,5081,766,3322
Kirakira☆Precure A La Mode,6.92,"['Action', 'Fantasy', 'Magic', 'Shoujo', 'Slice of Life']",Kirakira☆Precure A La Mode,TV,Feb,Winter,49,24,G,5316,8201,98,1284,2780,654,627
Kamigami no Ki,5.97,"['Comedy', 'Historical', 'Supernatural']",Kamigami no Ki,TV,Nov,Fall,17,2,PG,11392,674,2,66,138,26,116
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,6.11,"['Slice of Life', 'Comedy']",Ai-Mai-Mi Surgical Friends,TV,Jan,Winter,12,3,PG,5268,8328,15,549,4797,241,524
Digimon Adventure tri. 4: Soushitsu,7.34,"['Action', 'Adventure', 'Comedy', 'Drama']",Digimon Adventure tri. Loss,Movie,Feb,Winter,1,82,PG,2353,46616,121,721,36179,304,223
Quanzhi Fashi,7.29,"['Action', 'Fantasy', 'Magic', 'School']",QUANZHIFASHI,ONA,Sep,Fall,12,18,PG,1594,85118,460,4823,55523,1122,2058
Precure Dream Stars! Movie,6.81,"['Action', 'Comedy', 'Magic', 'Fantasy', 'Shoujo']",Precure Dream Stars! Movie,Movie,Mar,Spring,1,71,G,8300,2487,10,72,1273,43,95
PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,6.75,"['Music', 'Slice of Life', 'School', 'Shoujo']",PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,Movie,Mar,Spring,1,65,PG,9956,1247,3,54,508,22,64
Ring ni Kakero 1 Pilot,6.51,"['Action', 'Sports', 'Shounen']",Ring ni Kakero 1 Pilot,OVA,Other,Other,1,5,PG,13437,306,1,9,153,9,28
Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,6.51,"['Comedy', 'Supernatural']",Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,TV,Dec,Winter,8,2,G,11703,594,1,47,90,13,95
Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen!,6.51,"['Cars', 'Kids']",Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen!,Movie,Apr,Spring,1,10,G,12999,354,0,16,94,11,60
Crayon Shin-chan Gaiden: Omocha Wars,6.39,"['Action', 'Comedy', 'Ecchi', 'Seinen']",Crayon Shin-chan Gaiden: Omocha Wars,ONA,Nov,Fall,13,7,G,10351,1058,2,61,587,32,80
Mekakucity V's,7.38,"['Music', 'Romance', 'Super Power', 'Supernatural']",Mekakucity V's,Music,Jan,Winter,4,4,PG,6642,4685,18,145,2530,78,81
Fate/Grand Order: First Order,6.78,"['Action', 'Supernatural', 'Magic', 'Fantasy']",Fate/Grand Order -First Order-,Special,Dec,Winter,1,74,PG,1071,138312,237,3232,106944,840,723
Hi☆sCoool! SeHa Girls Special,6.51,"['Comedy', 'Game', 'School', 'Sports']",Hi☆sCoool! SeHa Girls Special,Special,Nov,Fall,1,10,PG,11232,724,0,43,168,18,43
Chiryokumaru,5.17,['Action'],Chiryokumaru,ONA,Nov,Fall,1,2,PG,8821,2011,0,67,1442,24,40
Pokemon XY&Z Specials,7.02,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",Pokemon XY&Z Specials,Special,Nov,Fall,2,23,PG,5637,7132,4,143,5537,128,112
Iwaki Meisei Daigaku,6.51,"['School', 'Slice of Life']",Iwaki Meisei Daigaku,ONA,Jul,Summer,3,1,G,14884,202,0,17,92,5,18
Hulaing Babies,5.88,"['Slice of Life', 'Comedy']",Hulaing Babies,TV,Jan,Winter,12,5,PG,7568,3303,3,228,1216,111,452
Glass no Kamen Desu ga to Z Specials,6.51,"['Comedy', 'Parody']",Glass no Kamen Desu ga to Z Specials,Special,Sep,Fall,2,3,PG,13818,273,0,15,89,13,33
Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,6.26,"['Historical', 'Romance']",Ikemen Sengoku:Bromances Across Time,TV,Jul,Summer,12,3,PG,5579,7265,47,509,3600,199,785
Lost Song,7.01,"['Drama', 'Fantasy']",Lost Song,TV,Apr,Spring,12,23,PG,2913,31031,164,1654,16807,700,1471
Pig: Oka no Ue no Dam Keeper,6.98,['Fantasy'],Pig:The Dam Keeper Poems,ONA,Aug,Summer,10,5,PG,11403,673,3,24,200,13,35
Diamond no Ace: Second Season OVA,7.59,"['Comedy', 'Sports', 'School', 'Shounen']",Diamond no Ace: Second Season OVA,OVA,Aug,Summer,2,24,PG,5358,8040,11,217,5118,115,115
Alice to Zouroku,7.12,"['Adventure', 'Mystery', 'Seinen']",Alice & Zoroku,TV,Apr,Spring,12,23,PG,1410,98291,204,8313,45954,5480,10652
Himitsukessha Taka no Tsume Specials,6.51,"['Comedy', 'Parody', 'Super Power']",Himitsukessha Taka no Tsume Specials,Special,Sep,Fall,4,11,PG,14848,203,0,13,64,8,49
Himitsukessha Taka no Tsume: Christmas Daisakusen,6.51,"['Comedy', 'Parody', 'Super Power']",Himitsukessha Taka no Tsume: Christmas Daisakusen,Special,Oct,Fall,1,9,PG,14577,218,0,12,94,6,40
Kimi dake no Boku de Iru kara,6.08,['Music'],Kimi dake no Boku de Iru kara,Music,Nov,Fall,1,5,PG,10642,920,2,20,594,11,44
Long Riders! Recap,5.71,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",Long Riders! Recap,Special,Nov,Fall,1,23,PG,9854,1318,0,62,638,37,64
Vatican Kiseki Chousakan,6.39,"['Mystery', 'Supernatural', 'Drama']",Vatican Miracle Examiner,TV,Jul,Summer,12,24,R,2520,40746,81,3441,15455,1768,6799
Taka no Tsume x Ballad Katte ni Senden Movie,6.51,"['Comedy', 'Parody']",Taka no Tsume x Ballad Katte ni Senden Movie,ONA,Sep,Fall,1,6,G,14791,204,0,13,76,4,44
Himitsukessha Taka no Tsume: Teikyou Kakutoku Daisakusen - Sakusen Kaigi,6.51,"['Comedy', 'Parody']",Himitsukessha Taka no Tsume: Teikyou Kakutoku Daisakusen - Sakusen Kaigi,Special,Oct,Fall,12,1,G,14554,221,0,15,79,6,43
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,7.54,"['Slice of Life', 'Drama', 'Magic', 'Fantasy']",Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,Movie,Mar,Spring,1,48,PG,4635,11474,15,385,5553,182,140
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.81,"['Drama', 'Fantasy', 'Magic', 'Slice of Life']",Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,Apr,Spring,1,47,PG,4710,11121,25,401,5502,180,148
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.0,"['Drama', 'Fantasy', 'Magic', 'Slice of Life']",Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie,Jul,Summer,1,48,PG,4691,11264,36,364,5445,166,170
Citrus,6.51,"['Drama', 'Romance', 'School', 'Shoujo Ai']",Citrus,TV,Jan,Winter,12,23,PG,398,340760,3861,29452,197345,10886,30291
Netsuzou TRap,5.37,"['Drama', 'Romance', 'Shoujo Ai']",Netsuzou Trap -NTR-,TV,Jul,Summer,12,9,R,1271,113804,260,7738,57692,2782,12323
Koro-sensei Quest!,7.1,"['Comedy', 'Magic', 'Shounen']",Koro Sensei Quest!,ONA,Dec,Winter,12,10,PG,2678,36491,51,2159,23636,1353,1606
Mobile Suit Gundam Thunderbolt 2nd Season,7.28,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam Thunderbolt 2nd Season,ONA,Mar,Spring,4,21,R,4025,16281,25,1059,10069,346,192
One Room,5.57,['Slice of Life'],One Room,TV,Jan,Winter,12,4,PG,1539,89779,133,5872,42375,2056,7124
Room Mate,4.76,"['Harem', 'Slice of Life']",Room Mate,TV,Apr,Spring,12,4,PG,3626,20516,39,1287,9351,526,2709
Yuuki Yuuna wa Yuushabu Shozoku,6.49,"['Slice of Life', 'Comedy', 'Magic', 'Fantasy']",Yuuki Yuuna wa Yuushabu Shozoku,Movie,Mar,Spring,1,7,PG,7109,3989,5,140,1509,67,83
Love Kome: We Love Rice,4.64,['Slice of Life'],Love Rice,TV,Apr,Spring,12,4,PG,5015,9458,9,628,3836,294,1949
Hajimete no Gal,6.31,"['Comedy', 'Ecchi', 'Romance', 'School', 'Shounen']",My First Girlfriend is a Gal,TV,Jul,Summer,10,23,R,412,332807,1129,20728,224909,6179,22434
Punpun Polka,4.93,"['Kids', 'Music']",Punpun Polka,Music,Aug,Summer,1,1,G,13959,262,0,9,163,2,26
Chuuko Video-ya no Onna Tenin X,5.71,"['Comedy', 'Shounen']",Chuuko Video-ya no Onna Tenin X,ONA,Nov,Fall,1,6,PG,12517,430,0,18,232,6,40
Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,6.51,"['Comedy', 'Magic', 'Shoujo']",Balala the Faries:Over the Rainbow,TV,Nov,Fall,26,22,G,11435,667,0,51,149,29,88
Taishou Mebiusline: Chicchai-san,4.73,"['Historical', 'Supernatural']",Taishou Mebiusline: Chicchai-san,TV,Oct,Fall,12,3,PG,4821,10486,22,909,3782,336,1623
